strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/Indiana/15TOSU0219/2015|07/16/2015|Indiana	2015-07-16	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A02034471/2015|07/17/2015|North_Carolina	2015-07-17	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/15TOSU0348/2015|07/17/2015|Indiana	2015-07-17	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/15TOSU1248/2015|07/18/2015|Indiana	2015-07-18	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Nebraska/A01823621/2015|07/20/2015|Nebraska	2015-07-20	Nebraska	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ilinois/A02090306/2015|07/21/2015|Unknown	2015-07-21	Unknown	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02035784/2015|07/21/2015|North_Carolina	2015-07-21	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/15TOSU8822/2015|07/24/2015|Indiana	2015-07-24	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A02025402/2015|07/27/2015|North_Carolina	2015-07-27	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ilinois/A02090378/2015|07/28/2015|Unknown	2015-07-28	Unknown	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02034953/2015|07/29/2015|North_Carolina	2015-07-29	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01770059/2015|08/03/2015|North_Carolina	2015-08-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01770073/2015|08/04/2015|North_Carolina	2015-08-04	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01769343/2015|08/05/2015|Iowa	2015-08-05	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Oklahoma/A01770191/2015|08/07/2015|Oklahoma	2015-08-07	Oklahoma	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kansas/A01377582/2015|08/10/2015|Kansas	2015-08-10	Kansas	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01472881/2015|08/10/2015|Minnesota	2015-08-10	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260958/2015|08/11/2015|Indiana	2015-08-11	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A02025575/2015|08/12/2015|North_Carolina	2015-08-12	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01770246/2015|08/12/2015|Illinois	2015-08-12	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01769650/2015|08/13/2015|North_Carolina	2015-08-13	North Carolina	?	?	?	?	?	pdm	?								?
A/swine/Michigan/A02025547/2015|08/13/2015|Michigan	2015-08-13	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
